word	frequency
saksa	202
lastele	202
aamen	202
enamus	202
öeldakse	202
ootad	202
will	202
mõistlik	201
ülemus	201
õppinud	201
paremaks	201
olegi	201
nimed	201
nõid	201
annie	201
ülesse	201
poirot	201
saadab	200
lubasin	200
sõltub	200
tuttavaks	200
peole	200
edward	200
mõju	199
küsid	199
tundeid	199
teiseks	199
vaikne	199
laulu	199
jätame	199
rong	199
uskunud	198
üritab	198
lõksu	198
visata	198
ostsin	198
lemmik	198
sõdur	197
kohtumine	197
unustage	197
võidelda	197
relvastatud	197
võiksite	197
töötanud	197
julgust	197
n	197
tühjaks	197
jõuad	197
südant	197
ülesanne	197
lõpetan	197
roger	197
hädas	196
endine	196
perset	196
kartsin	196
puutub	196
roni	196
raadio	196
püksid	196
imeilus	196
uh	196
kutsuvad	196
tõmmata	196
määratud	196
saadik	195
poolel	195
ääres	195
jalgu	195
parema	195
omadega	195
uudis	195
õigel	195
väikse	195
luua	195
tuul	195
ala	195
komissar	195
tulistada	194
küsimusele	194
suitsu	194
seas	194
niikuinii	194
lubatud	194
saabub	194
nüüdsest	194
pisike	194
tulevik	194
metsa	194
otsinud	194
kanna	194
sellises	194
benjamin	194
pardale	194
mister	194
lits	194
päevas	193
pahaks	193
saabus	193
hobune	193
sinine	193
vastata	192
vapper	192
jätab	192
alasti	192
sinus	192
kenad	192
sittagi	192
